trading_account_id,open_date,last_execution_date,close_date,symbol,trade_position,currency,underlying,asset_type,open_price,close_price,base_gross_pnl,base_net_pnl,total_quantity,total_buy_quantity,total_sell_quantity,remaining_quantity,total_executions,total_duration,total_commission,total_fees,stop_loss,profit_target,tags,notes
ŁukaszK,2023-06-27T10:35:43-0400,2023-06-27T11:04:45-0400,2023-06-27T11:04:45-0400,MESU23,long,USD,MES,future,4386.25,4385.0,41.25,36.63,6.0,3.0,3.0,0.0,3,1742.0,4.62,0.0,4383.5,4495.0,ML (A),
ŁukaszK,2023-11-09T09:48:58-0500,2023-11-09T09:52:01-0500,2023-11-09T09:52:01-0500,MESZ23,short,USD,MES,future,4395.5,4399.5,-40.0,-43.08,4.0,2.0,2.0,0.0,2,183.0,3.08,0.0,4399.5,4380.0,MS (A),
ŁukaszK,2023-10-19T10:37:14-0400,2023-10-19T11:25:01-0400,2023-10-19T11:25:01-0400,MESZ23,short,USD,MES,future,4331.75,4328.5,180.0,167.68,16.0,8.0,8.0,0.0,3,2867.0,12.32,0.0,4335.75,4326.0,MS (A),<br>
ŁukaszK,2023-11-08T10:00:03-0500,2023-11-08T10:01:07-0500,2023-11-08T10:01:07-0500,MESZ23,long,USD,MES,future,4404.75,4401.0,-37.5,-40.58,4.0,2.0,2.0,0.0,4,64.0,3.08,0.0,N/A,N/A,ML (A),
ŁukaszK,2023-08-01T10:29:28-0400,2023-08-01T10:35:25-0400,2023-08-01T10:35:25-0400,ESU23,short,USD,ES,future,4594.75,4598.75,-200.0,-204.58,2.0,1.0,1.0,0.0,2,357.0,4.58,0.0,N/A,N/A,MS (A),
ŁukaszK,2023-05-09T06:35:01-0400,2023-05-09T07:24:18-0400,2023-05-09T07:24:18-0400,MESM23,long,USD,MES,future,4138.5,4135.5,-30.0,-33.08,4.0,2.0,2.0,0.0,2,2957.0,3.08,0.0,4135.5,4145.0,MRL (A),
ŁukaszK,2023-04-11T10:50:01-0400,2023-04-11T11:19:29-0400,2023-04-11T11:19:29-0400,ESM23,long,USD,ES,future,4134.25,4138.75,225.0,220.42,2.0,1.0,1.0,0.0,2,1768.0,4.58,0.0,4131.0,4138.75,MRL (A),
ŁukaszK,2023-10-06T10:21:53-0400,2023-10-06T10:30:07-0400,2023-10-06T10:30:07-0400,MESZ23,long,USD,MES,future,4257.5,4279.0,450.0,440.76,12.0,6.0,6.0,0.0,3,494.0,9.24,0.0,4253.5,4279.0,MRL (B),<br>
ŁukaszK,2023-10-05T10:15:51-0400,2023-10-05T10:17:57-0400,2023-10-05T10:17:57-0400,MESZ23,short,USD,MES,future,4276.5,4280.25,-112.5,-121.74,12.0,6.0,6.0,0.0,2,126.0,9.24,0.0,4280.5,4266.0,MS (B),<br>
ŁukaszK,2023-05-18T09:51:59-0400,2023-05-18T09:55:23-0400,2023-05-18T09:55:23-0400,MESM23,long,USD,MES,future,4169.75,4166.0,-37.5,-40.58,4.0,2.0,2.0,0.0,2,204.0,3.08,0.0,4166.0,4182.5,ML (B),
ŁukaszK,2023-04-20T11:30:00-0400,2023-04-20T11:34:56-0400,2023-04-20T11:34:56-0400,ESM23,long,USD,ES,future,4156.5,4152.75,-187.5,-192.08,2.0,1.0,1.0,0.0,2,296.0,4.58,0.0,4152.75,4168.25,ML (B),
