date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,stop_loss,profit_target,tags,notes,spread_id
2023-09-26T11:29:07-0400,MESZ23,buy,USD,MES,future,4324.0,2.0,1.54,0.0,4339.25,4324.0,MS (A+),<br>,gTZm8Fy3
2023-09-26T12:10:01-0400,MESZ23,buy,USD,MES,future,4329.75,1.0,0.77,0.0,4339.25,4324.0,MS (A+),<br>,gTZm8Fy3
2023-09-18T09:45:53-0400,MESZ23,sell,USD,MES,future,4491.75,2.0,1.54,0.0,4495.75,4477.0,MS (A+),,GzhX1Zqv
2023-09-18T09:51:58-0400,MESZ23,buy,USD,MES,future,4495.75,2.0,1.54,0.0,4495.75,4477.0,MS (A+),,GzhX1Zqv
2023-04-06T11:00:00-0400,ESM23,buy,USD,ES,future,4104.0,1.0,2.29,0.0,4101.0,4108.5,MRL (B),,H99fkaIw
2023-04-06T11:04:22-0400,ESM23,sell,USD,ES,future,4108.5,1.0,2.29,0.0,4101.0,4108.5,MRL (B),,H99fkaIw
2023-05-24T10:17:11-0400,MESM23,buy,USD,MES,future,4127.25,3.0,2.31,0.0,4127.25,4115.0,MS (A+),,HApEDcip
2023-05-24T10:15:58-0400,MESM23,sell,USD,MES,future,4122.75,3.0,2.31,0.0,4127.25,4115.0,MS (A+),,HApEDcip
2023-05-17T11:06:43-0400,MESM23,sell,USD,MES,future,4136.75,3.0,2.31,0.0,4140.5,4130.75,MRS (B),,hcOk1w1c
2023-05-17T11:17:03-0400,MESM23,buy,USD,MES,future,4140.5,3.0,2.31,0.0,4140.5,4130.75,MRS (B),,hcOk1w1c
2023-06-06T14:09:51-0400,MESM23,buy,USD,MES,future,4278.0,3.0,2.31,0.0,4278.0,4257.0,MS (A),,hkDzGPNG
2023-06-06T14:02:19-0400,MESM23,sell,USD,MES,future,4275.0,3.0,2.31,0.0,4278.0,4257.0,MS (A),,hkDzGPNG
2023-04-14T14:44:18-0400,ESM23,buy,USD,ES,future,4157.75,1.0,2.29,0.0,4154.75,4172.0,"MRL (C),Pre-empt",,HMFB15OH
2023-04-14T14:45:55-0400,ESM23,sell,USD,ES,future,4156.25,1.0,2.29,0.0,4154.75,4172.0,"MRL (C),Pre-empt",,HMFB15OH
